Metabolite	Score	Normalized score	No. of reactions	No. of positive reactions	No. of negative reactions	candidate reactions	positive reactions	negative reactions	Positive score	Negative score
atp_c	23.121547861686373	1.2237220802733804	357	9	70	ZNabcpp;Kabcpp;UAMAGS;TYRTRS;UM4PL;PG161abcpp;ATPM;GLUTRS;Ec_biomass_iJO1366_core_53p95M;FACOAL80t2pp;FACOAL100t2pp;MALTPTabcpp;S2FE2SS2;PANTS;CTBTCAL2;ISETACabcpp;NTPP6;2AGPGAT120;2AGPEAT181;2AGPEAT180;COBALT2abcpp;ATPS4rpp_reverse;GTPDPK;PE160abcpp;PA160abcpp;PROabcpp;GMHEPK;FE3DCITabcpp;TAURabcpp;GART;MG2uabcpp;PPK2r;ALATRS;NNATr;PE161abcpp;GSNK;CRNCAL2;TMPK;SULFACabcpp;ASPK;FCLK;CYSTRS;HISTRS;FACOAL160t2pp;CBPS;SADT2;DAPabcpp;TMDK1;METSOX1abcpp;PGP140abcpp;FRUK;GLYC3Pabcpp;PRPPS;MALTTTRabcpp;TSULabcpp;DHFS;MPTSS;HEX1;DAGK141;DAGK140;HEX4;HEX7;PG160abcpp;PGK;ADK1;PE180abcpp;PPKr;SUCOAS;ASPTRS;TRPTRS;GMHEPAT;S2FE2SR;S2FE2SS;PA161abcpp;FTHFLi;ASNS1;CTBTabcpp;PYDAMK;GMPS2;UAAGDS;PGP161abcpp;G3PCabcpp;CBL1abcpp;2AGPGAT161;2AGPGAT160;4PEPTabcpp;ANHMK;GALabcpp;CBMKr;GLCabcpp;PRAIS;HMPK1;MPTAT;PE181abcpp;FACOAL141t2pp;CLIPAabctex;DDGLK;ASNabcpp;PRFGS;SERASr;FEENTERabcpp;ADNK1;CYTK1;CYTK2;NTP1;DAGK181;DAGK180;PA120abcpp;OPHHX3;DBTS;FMNAT;GLYC2Pabcpp;DHBS;CD2abcpp;CCGS;3PEPTabcpp;LIPACabcpp;GTHS;ETHSO3abcpp;FE3DHBZSabcpp;SUCBZL;VALTRS;ADSK;PYDXK;FACOAL181t2pp;PA181abcpp;HEPK2;HEPK1;ALLabcpp;RBK_L1;MALTabcpp;SERTRS;RMK;GSPMDS;G3PEabcpp;FRULYSK;PACCOAL;LIPAabcpp;ADNCYC;COLIPAabctex;PA141abcpp;GLYCK;PHETRS;CGLYabcpp;THRTRS;CRNDCAL2;COLIPAabcpp;AIRC2;FEOXAMabcpp;LIPATPT;PGP120abcpp;PRASCSi;NDPK8;NDPK2;NDPK3;NDPK1;NDPK6;NDPK7;ADOCBLabcpp;NDPK5;HPPK2;DTMPK;AACPS8;AACPS9;AACPS4;AACPS5;PFK_3;AACPS7;PROGLYabcpp;AACPS1;AACPS2;AACPS3;ASPabcpp;PYDXNK;ACCOAL;2AGPEAT141;2AGPEAT140;GLYK;ACCOAC;NMNAT;RNTR1c2;PG140abcpp;ATPHs;ARGabcpp;DAGK161;NAMNPP;HSK;METSOX2abcpp;THMabcpp;CRNabcpp;ASNS2;ATPPRT;GLNabcpp;PE140abcpp;SERTRS2;FACOAL120t2pp;HG2abcpp;FECRMabcpp;PGP141abcpp;GLNS;CYSabc2pp;ACGK;ASNTRS;GALKr;GK1;FACOAL60t2pp;GLNTRS;UMPK;NI2uabcpp;SELNPS;NADK;2AGPGAT141;2AGPGAT140;CRNDabcpp;CU2abcpp;METabcpp;DAGK120;TMK;GLUCYS;CTPS2;GTHRDabcpp;Ec_biomass_iJO1366_WT_53p95M;UAMAS;ARGSS;ADOCBIK;MALTHXabcpp;GDPDPK;PGP180abcpp;UGMDDS;ARBabcpp;PPAKr_reverse;LYSTRS;FACOAL161t2pp;COLIPAPabctex;PHEMEabcpp;PMPK;TDSK;FE3HOXabcpp;INSK;DURIK1;ACKr;GNK;VALabcpp;ASO3t8pp;LYSabcpp;PTRCabcpp;METTRS;PPS;PRAGSr;PGP160abcpp;PFK_2;PG181abcpp;3KGK;DADK;OMMBLHX3;ALAALAr;MALTTRabcpp;NI2abcpp;2AGPEAT120;CBLAT;PA180abcpp;DAGK160;PROTRS;GLYTRS;ZN2abcpp;GLYBabcpp;GTHRDabc2pp;PNTK;THZPSN3;ALLK;ALAALAabcpp;PG141abcpp;RBFK;ILEabcpp;SPMDabcpp;LIPAabctex;PTPATi;PG120abcpp;NADS1;RIBabcpp;GLGC;MSO3abcpp;2AGPGAT181;2AGPGAT180;NDPK4;GGPTRCS;LEUTRS;ACOLIPAabctex;K2L4Aabcpp;CHLabcpp;ENLIPAabctex;XYLabcpp;CYSDabcpp;AP4AS;FACOAL180t2pp;METDabcpp;HISabcpp;ARBTNabcpp;CYSabcpp;PIuabcpp;GLU5K;BUTSO3abcpp;SHKK;GLYCK2;DXYLK;ORNabcpp;G3PIabcpp;RBK;FE3abcpp;PG180abcpp;CBIuabcpp;DDGALK;CPGNabcpp;ACS;O16A4COLIPAabctex;OCTNLL;AACPS6;14GLUCANabcpp;AMANK;PGP181abcpp;UM3PL;LEUabcpp;OMPHHX3;THRabcpp;ACGAMK;PA140abcpp;G3PSabcpp;R15BPK;FACOAL140t2pp;XYLK;HETZK;K2L4Aabctex;CBIAT;2AGPEAT161;2AGPEAT160;PE141abcpp;ARGTRS;ECA4COLIPAabctex;SULabcpp;TUNGSabcpp;R1PK;GLUabcpp;TPRDCOAS;MOBDabcpp;DGK1;ALAabcpp;PE120abcpp;DPCOAK;METAT;XYLK2;FE2abcpp;ILETRS;PPCK;PFK;G3PGabcpp;CDPMEK;CU1abcpp	PRPPS;CYTK1;SHKK;ADK1;PPS;HEX1;NDPK2;GLNS;DTMPK	NADK;PNTK;TMPK;CDPMEK;DHFS;CU2abcpp;RNTR1c2;AIRC2;ANHMK;UAMAGS;MPTSS;ACKr;PE161abcpp;CBMKr;ADSK;OPHHX3;PRAIS;AACPS7;Ec_biomass_iJO1366_core_53p95M;K2L4Aabcpp;MPTAT;HSK;MOBDabcpp;UGMDDS;DBTS;PRASCSi;PRAGSr;COBALT2abcpp;ATPS4rpp_reverse;ACGK;FMNAT;UAMAS;AACPS3;GLUTRS;R1PK;RBFK;FACOAL160t2pp;GLU5K;PE160abcpp;SADT2;ASNS2;HPPK2;ATPPRT;DPCOAK;GLYCK;METAT;ZN2abcpp;AACPS4;ARGSS;GART;CTPS2;PTPATi;PMPK;ACGAMK;PANTS;NADS1;PRFGS;PPCK;GMPS2;UAAGDS;PFK;THZPSN3;R15BPK;ALAALAabcpp;FACOAL161t2pp;NI2abcpp;K2L4Aabctex;ADNK1;ACCOAC;TDSK	15.8277719767	-7.29377588498
b2coa_c	0.37357770404816104	0.2641593278325558	2	1	1	ECOAH1_reverse;ACOAD1f_reverse	ECOAH1_reverse	ACOAD1f_reverse	0.186788852024	-0.186788852024
bbtcoa_c	0.0	0.0	1	0	0	CRNBTCT			0.0	0.0
betald_c	0.0	0.0	2	0	0	BETALDHx;BETALDHy			0.0	0.0
bglycogen_c	0.0	0.0	2	0	0	GLDBRAN2;GLCP2			0.0	0.0
bmoco1gdp_c	6.403349428722553e-05	6.403349428722553e-05	1	0	1	BMOGDS2		BMOGDS2	0.0	-6.40334942872e-05
bmoco_c	6.403349428722553e-05	6.403349428722553e-05	1	0	1	BMOGDS1		BMOGDS1	0.0	-6.40334942872e-05
bmocogdp_c	0.5248647072723405	0.37113539371776416	2	0	1	Ec_biomass_iJO1366_WT_53p95M;Ec_biomass_iJO1366_core_53p95M		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
btal_c	0.0	0.0	1	0	0	ALDD4			0.0	0.0
btcoa_c	0.18678885202408052	0.1320796639162779	2	0	1	ACOAD1f;ACACT2r		ACACT2r	0.0	-0.186788852024
btn_c	0.5248647072723405	0.37113539371776416	2	0	1	Ec_biomass_iJO1366_WT_53p95M;Ec_biomass_iJO1366_core_53p95M		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
btn_e	0.0	0.0	2	0	0	BTNtex;EX_btn_LPAREN_e_RPAREN_			0.0	0.0
btn_p	0.0	0.0	2	0	0	BTNtex_reverse;BTNt2ipp			0.0	0.0
btnso_c	0.0	0.0	2	0	0	BSORy;BSORx			0.0	0.0
but2eACP_c	0.0	0.0	2	0	0	EAR40x;EAR40y			0.0	0.0
butACP_c	0.0	0.0	1	0	0	3OAS60			0.0	0.0
but_c	0.0	0.0	2	0	0	BUTt2rpp_reverse;BUTCT			0.0	0.0
but_e	0.0	0.0	2	0	0	EX_but_LPAREN_e_RPAREN_;BUTtex			0.0	0.0
but_p	0.0	0.0	2	0	0	BUTt2rpp;BUTtex_reverse			0.0	0.0
butso3_c	0.0	0.0	1	0	0	FDMO4			0.0	0.0
butso3_e	0.0	0.0	2	0	0	BUTSO3tex;EX_butso3_LPAREN_e_RPAREN_			0.0	0.0
butso3_p	0.0	0.0	2	0	0	BUTSO3abcpp;BUTSO3tex_reverse			0.0	0.0
bwco1gdp_c	0.0	0.0	1	0	0	BWCOGDS2			0.0	0.0
bwco_c	0.0	0.0	1	0	0	BWCOGDS1			0.0	0.0
bwcogdp_c	0.0	0.0	0	0	0				0.0	0.0
ca2_c	0.527596628073693	0.2637983140368465	4	1	1	CAt6pp;CA2t3pp;Ec_biomass_iJO1366_WT_53p95M;Ec_biomass_iJO1366_core_53p95M	CA2t3pp	Ec_biomass_iJO1366_core_53p95M	0.00273192080135	-0.524864707272
ca2_e	0.0027319208013525326	0.0019317597243009626	2	0	1	EX_ca2_LPAREN_e_RPAREN_;CA2tex		EX_ca2_LPAREN_e_RPAREN_	0.0	-0.00273192080135
ca2_p	0.0027319208013525326	0.0019317597243009626	2	1	0	CA2tex_reverse;CAt6pp_reverse	CA2tex_reverse		0.00273192080135	0.0
camp_c	0.0	0.0	1	0	0	PDE1			0.0	0.0
cbasp_c	0.1736226208421539	0.1736226208421539	1	0	1	DHORTS_reverse		DHORTS_reverse	0.0	-0.173622620842
cbi_c	0.0	0.0	1	0	0	CBIAT			0.0	0.0
cbi_e	0.0	0.0	2	0	0	CBItonex;EX_cbi_LPAREN_e_RPAREN_			0.0	0.0
cbi_p	0.0	0.0	1	0	0	CBIuabcpp			0.0	0.0
cbl1_c	0.0	0.0	1	0	0	CBLAT			0.0	0.0
cbl1_e	0.0	0.0	2	0	0	EX_cbl1_LPAREN_e_RPAREN_;CBL1tonex			0.0	0.0
cbl1_p	0.0	0.0	1	0	0	CBL1abcpp			0.0	0.0
cbm_c	0.0	0.0	1	0	0	CBMD			0.0	0.0
cbp_c	0.5036131883761867	0.29076120987643717	3	1	2	ASPCT;OCBT;CBMKr_reverse	CBMKr_reverse	ASPCT;OCBT	0.147765064494	-0.355848123882
cd2_c	0.0	0.0	2	0	0	CD2abcpp;CD2t3pp			0.0	0.0
cd2_e	0.0	0.0	2	0	0	CD2tex;EX_cd2_LPAREN_e_RPAREN_			0.0	0.0
cd2_p	0.0	0.0	2	0	0	CD2tex_reverse;CD2tpp			0.0	0.0
cddec5eACP_c	0.0	0.0	1	0	0	3OAS141			0.0	0.0
cdec3eACP_c	0.0	0.0	2	0	0	T2DECAI_reverse;3OAS121			0.0	0.0
cdg_c	0.0	0.0	1	0	0	CCGS			0.0	0.0
cdp_c	0.11255361180769108	0.05627680590384554	4	1	0	NDPK3;RNDR3;CYTK1_reverse;RNDR3b	CYTK1_reverse		0.112553611808	0.0
cdpdddecg_c	0.0	0.0	3	0	0	PGSA120;PSSA120;CDAPPA120			0.0	0.0
cdpdhdec9eg_c	0.04650369278888156	0.026848919549972428	3	0	2	PSSA161;CDAPPA161;PGSA161		PSSA161;CDAPPA161	0.0	-0.0465036927889
cdpdhdecg_c	0.03945524306152694	0.022779495202514693	3	0	2	PSSA160;CDAPPA160;PGSA160		PSSA160;CDAPPA160	0.0	-0.0394552430615
cdpdodec11eg_c	0.0	0.0	3	0	0	CDAPPA181;PSSA181;PGSA181			0.0	0.0
cdpdodecg_c	0.0	0.0	3	0	0	CDAPPA180;PSSA180;PGSA180			0.0	0.0
cdpdtdec7eg_c	0.0	0.0	3	0	0	PGSA141;CDAPPA141;PSSA141			0.0	0.0
cdpdtdecg_c	0.0	0.0	3	0	0	PGSA140;CDAPPA140;PSSA140			0.0	0.0
cechddd_c	0.0	0.0	1	0	0	DHPPD			0.0	0.0
cenchddd_c	0.0	0.0	1	0	0	DHCIND			0.0	0.0
cgly_c	0.0	0.0	1	0	0	AMPTASECG			0.0	0.0
cgly_e	0.0	0.0	2	0	0	CGLYtex;EX_cgly_LPAREN_e_RPAREN_			0.0	0.0
cgly_p	0.0	0.0	2	0	0	CGLYabcpp;CGLYtex_reverse			0.0	0.0
chol_c	0.0	0.0	1	0	0	CHOLD			0.0	0.0
chol_e	0.0	0.0	2	0	0	CHLtex;EX_chol_LPAREN_e_RPAREN_			0.0	0.0
chol_p	0.0	0.0	3	0	0	CHLabcpp;CHLtex_reverse;CHLt2pp			0.0	0.0
chor_c	3.0384242262474466	1.1484164114520852	7	1	3	CHRPL;ICHORSi;ICHORS;CHORM;Ec_biomass_iJO1366_WT_53p95M;ADCS;ANS	ANS	CHRPL;CHORM;ADCS	2.86822319843	-0.170201027815
chtbs6p_c	0.0	0.0	1	0	0	DC6PH			0.0	0.0
chtbs_e	0.0	0.0	2	0	0	EX_chtbs_LPAREN_e_RPAREN_;CHTBStex			0.0	0.0
chtbs_p	0.0	0.0	2	0	0	CHTBStex_reverse;CHTBSptspp			0.0	0.0
cinnm_c	0.0	0.0	1	0	0	CINNDO			0.0	0.0
cit_c	0.032103859803881155	0.01853517209979679	3	1	1	ACONTa;CITL;CITt3pp	CITL	ACONTa	0.00597049000084	-0.026133369803
cit_e	0.0	0.0	2	0	0	CITtex;EX_cit_LPAREN_e_RPAREN_			0.0	0.0
cit_p	0.0	0.0	2	0	0	CITt7pp;CITtex_reverse			0.0	0.0
citr_DASH_L_c	0.19215307761638062	0.13587274420840773	2	1	1	ARGSS;OCBT_reverse	OCBT_reverse	ARGSS	0.0049637872883	-0.187189290328
ckdo_c	0.020423535489381313	0.011791533712598177	3	0	2	MOAT2;MOAT;MOAT3C		MOAT2;MOAT	0.0	-0.0204235354894
cl_c	0.5248647072723405	0.37113539371776416	2	0	1	Ec_biomass_iJO1366_WT_53p95M;Ec_biomass_iJO1366_core_53p95M		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
cl_e	0.002731920801352532	0.0019317597243009624	2	0	1	CLtex;EX_cl_LPAREN_e_RPAREN_		EX_cl_LPAREN_e_RPAREN_	0.0	-0.00273192080135
cl_p	0.0040978812020287985	0.002897639586451444	2	1	1	CLt3_2pp;CLtex_reverse	CLtex_reverse	CLt3_2pp	0.00273192080135	-0.00136596040068
clpn120_p	0.0	0.0	2	0	0	CLPNS120pp_reverse;CLPNH120pp			0.0	0.0
clpn140_p	0.0	0.0	2	0	0	CLPNH140pp;CLPNS140pp_reverse			0.0	0.0
clpn141_p	0.0	0.0	2	0	0	CLPNH141pp;CLPNS141pp_reverse			0.0	0.0
clpn160_p	0.0	0.0	3	0	0	CLPNS160pp_reverse;CLPNH160pp;Ec_biomass_iJO1366_WT_53p95M			0.0	0.0
clpn161_p	0.0	0.0	3	0	0	CLPNH161pp;Ec_biomass_iJO1366_WT_53p95M;CLPNS161pp_reverse			0.0	0.0
clpn180_p	0.0	0.0	2	0	0	CLPNH180pp;CLPNS180pp_reverse			0.0	0.0
clpn181_p	0.0	0.0	3	0	0	CLPNH181pp;CLPNS181pp_reverse;Ec_biomass_iJO1366_WT_53p95M			0.0	0.0
cm_e	0.0	0.0	2	0	0	CMtex;EX_cm_LPAREN_e_RPAREN_			0.0	0.0
cm_p	0.0	0.0	2	0	0	CMtpp;CMtex_reverse			0.0	0.0
cmp_c	0.0005748333404163777	0.00033188018382856744	3	1	0	CYTK1;NTD4;CMPN	CYTK1		0.000574833340416	0.0
cmp_e	0.0	0.0	2	0	0	CMPtex;EX_cmp_LPAREN_e_RPAREN_			0.0	0.0
cmp_p	0.0	0.0	2	0	0	NTD4pp;CMPtex_reverse			0.0	0.0
co2_c	4.701390008634316	1.7769583970243155	7	3	4	PPC;HCO3E;CO2tpp_reverse;DBTS;CBMKr;POR5_reverse;ICDHyr_reverse	POR5_reverse;ICDHyr_reverse;HCO3E	PPC;CBMKr;CO2tpp_reverse;DBTS	1.31453695326	-3.38685305538
co2_e	1.3313623244216073	0.9414153278148027	2	0	1	EX_co2_LPAREN_e_RPAREN_;CO2tex		EX_co2_LPAREN_e_RPAREN_	0.0	-1.33136232442
co2_p	1.3313623244216153	0.9414153278148083	2	0	1	CO2tex_reverse;CO2tpp		CO2tex_reverse	0.0	-1.33136232442
coa_c	4.948134466089863	0.7459593380111645	44	6	9	ACACT4r_reverse;AKGDH;SERAT_reverse;ACALD;FACOAL160t2pp;OXDHCOAT;FACOAL120t2pp;SUCBZL;ACOATA_reverse;MCOATA_reverse;CRNCAL2;MALTATr_reverse;GLCATr_reverse;ACACT5r_reverse;ACACT6r_reverse;FACOAL60t2pp;FACOAL180t2pp;OBTFL;FACOAL141t2pp;FACOAL161t2pp;Ec_biomass_iJO1366_WT_53p95M;3OXCOAT;ACACT8r;PACCOAL;Ec_biomass_iJO1366_core_53p95M;FACOAL80t2pp;ACACT1r_reverse;SUCOAS;FACOAL100t2pp;PDH;GLYAT_reverse;ACPS1;FACOAL181t2pp;ACS;FACOAL140t2pp;PFL;PTAr_reverse;CRNDCAL2;CTBTCAL2;ACCOAL;ACACT3r_reverse;ACACT2r_reverse;ACACT7r_reverse;POR5	SERAT_reverse;POR5;ACACT6r_reverse;ACACT1r_reverse;ACACT7r_reverse;MCOATA_reverse	FACOAL160t2pp;AKGDH;Ec_biomass_iJO1366_core_53p95M;ACALD;PTAr_reverse;FACOAL161t2pp;PDH;ACOATA_reverse;GLYAT_reverse	0.701723656641	-4.24641080945
cobalt2_c	0.5248663187434548	0.2624331593717274	4	0	2	COBALT2abcpp;Ec_biomass_iJO1366_WT_53p95M;COBALT2t3pp;Ec_biomass_iJO1366_core_53p95M		COBALT2abcpp;Ec_biomass_iJO1366_core_53p95M	0.0	-0.524866318743
cobalt2_e	1.312161768180851e-05	9.278384842944103e-06	2	0	1	COBALT2tex;EX_cobalt2_LPAREN_e_RPAREN_		EX_cobalt2_LPAREN_e_RPAREN_	0.0	-1.31216176818e-05
cobalt2_p	2.785470647794492e-05	1.9696251838515705e-05	2	1	1	COBALT2tpp;COBALT2tex_reverse	COBALT2tex_reverse	COBALT2tpp	1.31216176818e-05	-1.47330887961e-05
colipa_c	0.0	0.0	1	0	0	COLIPAabcpp			0.0	0.0
colipa_e	0.0	0.0	3	0	0	LIPAHT2ex;Ec_biomass_iJO1366_WT_53p95M;EX_colipa_LPAREN_e_RPAREN_			0.0	0.0
colipa_p	0.0	0.0	5	0	0	COLIPAKpp;COLIPAabctex;ECA4OALpp;LA4NTpp;O16A4Lpp			0.0	0.0
colipap_e	0.0	0.0	1	0	0	EX_colipap_LPAREN_e_RPAREN_			0.0	0.0
colipap_p	0.0	0.0	1	0	0	COLIPAPabctex			0.0	0.0
cpe160_c	0.0	0.0	0	0	0				0.0	0.0
cpe180_c	0.0	0.0	0	0	0				0.0	0.0
cpg160_c	0.0	0.0	0	0	0				0.0	0.0
cpg180_c	0.0	0.0	0	0	0				0.0	0.0
cpgn_DASH_un_c	0.0	0.0	1	0	0	CPGNUtpp			0.0	0.0
cpgn_DASH_un_e	0.0	0.0	2	0	0	EX_cpgn_DASH_un_LPAREN_e_RPAREN_;CPGNexs			0.0	0.0
cpgn_DASH_un_p	0.0	0.0	1	0	0	CPGNUtex			0.0	0.0
cpgn_c	0.0	0.0	3	0	0	CPGNR2;CPGNR3;CPGNR1			0.0	0.0
cpgn_e	0.0	0.0	2	0	0	EX_cpgn_LPAREN_e_RPAREN_;CPGNtonex			0.0	0.0
cpgn_p	0.0	0.0	1	0	0	CPGNabcpp			0.0	0.0
cph4_c	0.0	0.0	1	0	0	CDGS			0.0	0.0
cpmp_c	0.00012806698857445106	0.00012806698857445106	1	0	1	MPTS		MPTS	0.0	-0.000128066988574
cpppg3_c	0.00011704482972173191	8.276319279906139e-05	2	0	1	CPPPGO2;CPPPGO		CPPPGO	0.0	-0.000117044829722
crnDcoa_c	0.0	0.0	1	0	0	CRNCAR_reverse			0.0	0.0
crn_DASH_D_c	0.0	0.0	3	0	0	CRNDt2rpp_reverse;CRNt8pp;CRNDCAL2			0.0	0.0
crn_DASH_D_e	0.0	0.0	2	0	0	EX_crn_DASH_D_LPAREN_e_RPAREN_;CRNDtex			0.0	0.0
crn_DASH_D_p	0.0	0.0	3	0	0	CRNDtex_reverse;CRNDabcpp;CRNDt2rpp			0.0	0.0
crn_c	0.0	0.0	4	0	0	CRNCAL2;CRNBTCT;CRNCBCT;CRNt2rpp_reverse			0.0	0.0
crn_e	0.0	0.0	2	0	0	CRNtex;EX_crn_LPAREN_e_RPAREN_			0.0	0.0
crn_p	0.0	0.0	5	0	0	CRNabcpp;CRNt7pp;CRNtex_reverse;CRNt8pp;CRNt2rpp			0.0	0.0
crncoa_c	0.0	0.0	4	0	0	CRNCDH;CRNBTCT_reverse;CRNCAR;CRNCBCT_reverse			0.0	0.0
csn_c	0.0	0.0	1	0	0	CSND			0.0	0.0
csn_e	0.0	0.0	2	0	0	EX_csn_LPAREN_e_RPAREN_;CSNtex			0.0	0.0
csn_p	0.0	0.0	2	0	0	CSNt2pp;CSNtex_reverse			0.0	0.0
ctbt_c	0.0	0.0	3	0	0	CTBTCAL2;CTBTt2rpp_reverse;CRNCBCT_reverse			0.0	0.0
ctbt_p	0.0	0.0	2	0	0	CTBTt2rpp;CTBTabcpp			0.0	0.0
ctbtcoa_c	0.0	0.0	2	0	0	CRNCBCT;CRNCDH_reverse			0.0	0.0
ctp_c	0.7647440186070984	0.18547766854566966	17	1	8	KDOCT2;Ec_biomass_iJO1366_core_53p95M;MOCDS;MEPCT;NDPK3_reverse;NTP5;PPNCL2;DASYN180;DASYN181;Ec_biomass_iJO1366_WT_53p95M;RNTR3c2;DASYN120;DASYN160;DASYN161;NTPP4;DASYN140;DASYN141	NDPK3_reverse	KDOCT2;Ec_biomass_iJO1366_core_53p95M;PPNCL2;MEPCT;RNTR3c2;DASYN160;DASYN161;NTPP4	0.111978778467	-0.65276524014
cu2_c	0.5250384755817173	0.2625192377908587	4	0	3	MPTS;CU2abcpp;Ec_biomass_iJO1366_WT_53p95M;Ec_biomass_iJO1366_core_53p95M		CU2abcpp;MPTS;Ec_biomass_iJO1366_core_53p95M	0.0	-0.525038475582
cu2_e	0.00037212907745608935	0.0002631349941458948	2	0	1	EX_cu2_LPAREN_e_RPAREN_;CU2tex		EX_cu2_LPAREN_e_RPAREN_	0.0	-0.000372129077456
cu2_p	0.0007899594757145181	0.0005585857021403055	2	1	1	CU2tpp;CU2tex_reverse	CU2tex_reverse	CU2tpp	0.000372129077456	-0.000417830398258
cu_c	0.0	0.0	2	0	0	CU1abcpp;CUt3			0.0	0.0
cu_e	0.0	0.0	2	0	0	CUtex;EX_cu_LPAREN_e_RPAREN_			0.0	0.0
cu_p	0.0	0.0	2	0	0	CUtex_reverse;CU1Opp			0.0	0.0
cyan_c	0.0	0.0	2	0	0	MCPST;CYANST			0.0	0.0
cyan_e	0.0	0.0	2	0	0	CYANtex;EX_cyan_LPAREN_e_RPAREN_			0.0	0.0
cyan_p	0.0	0.0	2	0	0	CYANSTpp;CYANtex_reverse			0.0	0.0
cynt_c	0.0	0.0	1	0	0	CYNTAH			0.0	0.0
cynt_e	0.0	0.0	2	0	0	CYNTtex;EX_cynt_LPAREN_e_RPAREN_			0.0	0.0
cynt_p	0.0	0.0	2	0	0	CYNTt2pp;CYNTtex_reverse			0.0	0.0
cys_DASH_D_c	0.0	0.0	1	0	0	CYSDDS			0.0	0.0
cys_DASH_D_e	0.0	0.0	2	0	0	CYSDtex;EX_cys_DASH_D_LPAREN_e_RPAREN_			0.0	0.0
cys_DASH_D_p	0.0	0.0	2	0	0	CYSDabcpp;CYSDtex_reverse			0.0	0.0
cys_DASH_L_c	0.6233274162552965	0.1879402873873178	11	0	5	CYStpp;Ec_biomass_iJO1366_core_53p95M;SCYSDS;SHSL1;CYSDS;PPNCL2;GLUCYS;CYSabc2pp;ICYSDS;Ec_biomass_iJO1366_WT_53p95M;CYSTRS		SHSL1;PPNCL2;ICYSDS;Ec_biomass_iJO1366_core_53p95M;CYSDS	0.0	-0.623327416255
cys_DASH_L_e	0.0	0.0	2	0	0	CYStex;EX_cys_DASH_L_LPAREN_e_RPAREN_			0.0	0.0
cys_DASH_L_p	0.0	0.0	2	0	0	CYSabcpp;CYStex_reverse			0.0	0.0
cyst_DASH_L_c	0.08078268835593576	0.08078268835593576	1	0	1	CYSTL		CYSTL	0.0	-0.0807826883559
cystrna_c	0.0	0.0	0	0	0				0.0	0.0
cytd_c	0.0	0.0	4	0	0	CYTD;CYTDK2;CYTDt2rpp_reverse;CYTDH			0.0	0.0
cytd_e	0.0	0.0	2	0	0	EX_cytd_LPAREN_e_RPAREN_;CYTDtex			0.0	0.0
cytd_p	0.0	0.0	3	0	0	CYTDt2rpp;CYTDtex_reverse;CYTDt2pp			0.0	0.0
dad_DASH_2_c	0.0	0.0	2	0	0	DADA;PUNP2			0.0	0.0
dad_DASH_2_e	0.0	0.0	2	0	0	EX_dad_DASH_2_LPAREN_e_RPAREN_;DADNtex			0.0	0.0
dad_DASH_2_p	0.0	0.0	2	0	0	DADNt2pp;DADNtex_reverse			0.0	0.0
dad_DASH_5_c	0.00011833095407886326	0.00011833095407886326	1	0	1	5DOAN		5DOAN	0.0	-0.000118330954079
dadp_c	0.0	0.0	2	0	0	DADK_reverse;NDPK8			0.0	0.0
damp_c	0.0	0.0	2	0	0	NTD6;DADK			0.0	0.0
damp_e	0.0	0.0	2	0	0	DAMPtex;EX_damp_LPAREN_e_RPAREN_			0.0	0.0
damp_p	0.0	0.0	2	0	0	NTD6pp;DAMPtex_reverse			0.0	0.0
dann_c	2.820462971915404e-06	1.994368493526945e-06	2	1	1	AMAOTr_reverse;DBTS	AMAOTr_reverse	DBTS	1.50652775808e-06	-1.31393521383e-06
datp_c	0.5248647072723405	0.2347266328902963	5	0	1	Ec_biomass_iJO1366_WT_53p95M;NTPP5;DATPHs;NDPK8_reverse;Ec_biomass_iJO1366_core_53p95M		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
db4p_c	0.0004681793188871368	0.0004681793188871368	1	0	1	RBFSa		RBFSa	0.0	-0.000468179318887
dc2coa_c	0.37357770404816104	0.2641593278325558	2	1	1	ACOAD4f_reverse;ECOAH4_reverse	ECOAH4_reverse	ACOAD4f_reverse	0.186788852024	-0.186788852024
dcaACP_c	0.0	0.0	2	0	0	3OAS120;FA100ACPHi			0.0	0.0
dca_c	0.0	0.0	1	0	0	AACPS8			0.0	0.0
dca_e	0.0	0.0	2	0	0	DCAtex;EX_dca_LPAREN_e_RPAREN_			0.0	0.0
dca_p	0.0	0.0	2	0	0	FACOAL100t2pp;DCAtex_reverse			0.0	0.0
dcacoa_c	0.18678885202408052	0.10784259399772407	3	0	1	FACOAE100;ACOAD4f;ACACT5r		ACACT5r	0.0	-0.186788852024
dcamp_c	0.0	0.0	1	0	0	ADSL1r			0.0	0.0
dcdp_c	0.0	0.0	2	0	0	NDPK7;CYTK2_reverse			0.0	0.0
dcmp_c	0.0	0.0	2	0	0	CYTK2;NTD3			0.0	0.0
dcmp_e	0.0	0.0	2	0	0	EX_dcmp_LPAREN_e_RPAREN_;DCMPtex			0.0	0.0
dcmp_p	0.0	0.0	2	0	0	DCMPtex_reverse;NTD3pp			0.0	0.0
